Nombre,Fecha,Latitud,Longitud,Costo,Flyer,Categoría,,Numero,NombreC
Concierto Tawayra,2018-04-01 18:00:00,22.7709988,-102.5744819,Gratuito,f0ca38c1a15565fa039c6e86b5f9f06133886797,1,,,
Ensamble Latinoamericano,2018-03-31 18:00:00,22.7738039,-102.5766149,Gratuito,8e48fdcf803e859277b2a7fcba06f30bb9da9d16,1,,,
ensamble de percusiones,2018-03-31 18:00:00,22.7738039,-102.5766149,Gratuito,d3a204d46de875dcd7073a2a56476f61a4bb946b,1,,,
Mariachi Gama Mil,2018-03-31 18:00:00,22.7760653,-102.5740353,Gratuito,3e2107e8dba5cd3333196e176b476a3820f3181d,1,,,
"Un hombre, una mujer y un perro",2018-03-31 20:00:00,22.7751717,-102.5751953,Gratuito,e8075af2630d2d73204c53754608dc47d5bc717b,2,,,
The Shuffle Demons,2018-03-31 22:00:00,22.7740443,-102.5763689,Gratuito,4f5f9bca875b7a3ca54f8390ea4f6a68cbdfbf25,1,,,
Ensamble Huayrapamushka,2018-04-01 18:00:00,22.7738039,-102.5766149,Gratuito,2e9ab0be88dec6ae1649fe65194c5f75bb286eab,1,,,
Sapiens Sapiens Teatro Lab,2018-04-01 19:00:00,22.775195,-102.5809887,Gratuito,cb2dc51676d45ac5cd93814f4103bc3991ea5559,2,,,
"Rockpack, Las leyendas del rock",2018-04-01 20:30:00,22.7760653,-102.5740353,Gratuito,959877d6eeb4ede775c0c3ebd7033981e6af6e86,1,,,
Sureda,2018-04-01 22:00:00,22.7740443,-102.5763689,Gratuito,601fcc6815c7c1199ead15a4b75ca2886368886c,1,,,
Aarón Escobedo,2018-04-02 18:00:00,22.7738039,-102.5766149,Gratuito,3c4456de9ed397e25ef75ea08bf642e6c16c9658,1,,,
Pablo Cortés,2018-04-02 18:00:00,22.7738039,-102.5766149,Gratuito,175da286b71902e79a0ce46d6d2ff88898164ae1,1,,,
Lophophora,2018-04-02 19:00:00,22.7760653,-102.5740353,Gratuito,19488f5da1d7f0f9528f704b61cb52dae98531c2,1,,,
Orquesta Sinfónica Juvenil de la Unidad Académica de Artes de la UAZ,2018-04-02 20:00:00,22.7751717,-102.5751953,Gratuito,89b01ae5b46e50777a51ef7727412875049ed0cb,1,,,
Pachedub Collective,2018-04-02 22:00:00,22.7740443,-102.5763689,Gratuito,df6a1a3b44c080ef62965f299adf881238f207c6,1,,,
Los pequeños Cantores de Zacatecas,2018-04-03 18:00:00,22.7680109,-102.5611121,Gratuito,2c48b2f149f7efe280815d5840e42eaa7c70608e,1,,,
Amatista,2018-04-03 18:00:00,22.7738039,-102.5766149,Gratuito,f8d0f04f0210277cb5ec27d26f66053c6f34e256,1,,,
Omar Márquez,2018-04-03 18:00:00,22.7738039,-102.5766149,Gratuito,a638ab6d28e71e16e05a4ead5ac921562d49823f,1,,,
Garganta de Mezcal,2018-04-03 19:00:00,22.7760653,-102.5740353,Gratuito,dd9ab10c41ad2ef761e9476f8ca547e3e09f64fa,1,,,
